No.	Z Error(mm)	3D Error
1	1.920000	2.652297
2	2.560000	4.568499
3	1.600000	2.290804
4	1.280000	3.357439
5	4.480000	5.779036
6	1.280000	2.362475
7	0.320000	1.090821
8	0.320000	0.941724
9	2.240000	3.333808
10	0.640000	1.059030
11	0.320000	0.985332
12	0.960000	1.434852
13	0.320000	1.261204
14	0.320000	4.380851
15	1.600000	2.434666
16	7.360000	9.917429
17	0.000000	0.363061
18	0.000000	0.027241
19	1.280000	3.060279
20	1.920000	3.069739
21	0.640000	1.658148
22	1.280000	2.555423
23	3.520000	5.988095
24	2.560000	3.123066
25	0.640000	1.311077
26	0.960000	5.481283
27	0.960000	2.231182
28	0.640000	1.302725
29	5.120000	6.621240
30	0.000000	6.393091
31	0.320000	0.718505
32	3.520000	5.100818
33	0.640000	0.826524
34	3.200000	6.241333
35	2.560000	4.651290
36	0.320000	1.275201
37	0.960000	2.534437
38	0.960000	2.251702
39	3.520000	5.085704
40	4.480000	5.764175
41	7.680000	10.767594
42	0.320000	0.558317
43	0.320000	3.151854
44	0.320000	1.331106
45	1.280000	1.714340
46	0.000000	0.672741
47	0.320000	0.756907
48	0.320000	2.928672
49	1.600000	3.646115
50	2.240000	3.794396
51	0.960000	1.916821
52	3.200000	5.477614
53	0.000000	2.825485
54	0.640000	2.254134
55	0.960000	4.543689
56	3.200000	4.213344
57	0.320000	0.591201
58	1.280000	3.301072
59	1.920000	3.995670
60	2.240000	3.656371
61	1.280000	2.311682
62	1.600000	2.858215
63	1.280000	2.015853
64	1.280000	3.639285
65	0.000000	0.136207
66	0.320000	1.291642
67	0.000000	1.729770
68	0.320000	3.366045
69	2.240000	2.874239
70	2.240000	4.586167
71	0.960000	2.199403
72	0.320000	0.706417
73	2.880000	5.491525
74	1.600000	3.872906
75	3.200000	4.966659
76	1.600000	2.053593
77	7.680000	11.575910
78	2.240000	3.521790
79	5.440000	9.476188
80	0.320000	1.368511
81	6.400000	11.465521
82	1.280000	2.062966
83	2.240000	2.883873
84	1.920000	4.448149
85	1.920000	2.643605
86	2.240000	4.751575
87	0.960000	1.496019
88	0.640000	0.699859
89	8.960000	11.493000
90	5.120000	6.411344
91	0.960000	1.613786
92	0.000000	2.003422
93	0.320000	1.365393
94	0.640000	1.087937
95	0.960000	1.724621
96	2.880000	3.727126
97	2.880000	4.370065
98	2.560000	3.567482
99	4.160000	6.014871
100	2.880000	4.354249
101	0.000000	0.730434
102	2.560000	3.336048
103	1.600000	2.898904
104	0.320000	1.926698
105	0.320000	0.875471
106	0.320000	0.464248
107	1.280000	1.694112
108	2.240000	3.633736
109	1.600000	3.455433
110	0.640000	0.914173
111	1.280000	1.985673
112	1.600000	2.554367
113	0.640000	3.975810
114	1.600000	3.150173
115	1.920000	3.615323
116	3.200000	7.183806
117	0.320000	4.168602
118	14.720000	23.003541
119	43.840000	58.714088
120	0.320000	3.116475
121	0.640000	0.707804
122	1.920000	2.724279
123	0.000000	0.383926
124	0.960000	2.182001
125	0.320000	1.099972
126	0.000000	0.969947
127	0.640000	1.153552
